"","Unix","Date","Btc.Exchange.Rate","Btc.Addresses","Btc.Authors","Btc.loc","Btc.New.Projects","Btc.Transactions.Total"
"1",1251676800,2009-08-31,NA,NA,1,NA,NA,NA
"2",1254268800,2009-09-30,NA,NA,1,NA,NA,NA
"3",1256947200,2009-10-31,NA,NA,2,NA,NA,NA
"4",1259539200,2009-11-30,NA,NA,1,NA,NA,NA
"5",1262217600,2009-12-31,NA,NA,1,NA,NA,NA
"6",1264896000,2010-01-31,NA,NA,1,NA,NA,NA
"7",1267315200,2010-02-28,NA,NA,2,NA,NA,NA
"8",1269993600,2010-03-31,NA,NA,1,NA,NA,NA
"9",1275264000,2010-05-31,NA,NA,1,NA,NA,NA
"10",1277856000,2010-06-30,NA,NA,1,NA,NA,NA
"11",1280534400,2010-07-31,NA,NA,4,NA,NA,NA
"12",1283212800,2010-08-31,NA,NA,4,NA,NA,NA
"13",1285804800,2010-09-30,NA,NA,2,NA,NA,NA
"14",1288483200,2010-10-31,NA,NA,3,NA,NA,NA
"15",1291075200,2010-11-30,NA,NA,3,NA,NA,NA
"16",1293753600,2010-12-31,NA,NA,4,NA,NA,NA
"17",1296432000,2011-01-31,NA,NA,8,NA,NA,NA
"18",1298851200,2011-02-28,NA,NA,7,NA,NA,NA
"19",1301529600,2011-03-31,NA,NA,8,NA,NA,NA
"20",1304121600,2011-04-30,NA,NA,14,NA,NA,NA
"21",1306800000,2011-05-31,NA,NA,26,NA,NA,NA
"22",1309392000,2011-06-30,NA,NA,19,NA,NA,NA
"23",1312070400,2011-07-31,NA,NA,21,NA,NA,NA
"24",1314748800,2011-08-31,NA,NA,17,NA,NA,NA
"25",1317340800,2011-09-30,NA,NA,17,NA,NA,NA
"26",1320019200,2011-10-31,NA,NA,15,NA,NA,NA
"27",1322611200,2011-11-30,NA,NA,14,NA,NA,NA
"28",1325289600,2011-12-31,NA,NA,7,NA,NA,NA
"29",1327968000,2012-01-31,NA,NA,11,NA,NA,NA
"30",1330473600,2012-02-29,NA,NA,12,NA,NA,NA
"31",1333152000,2012-03-31,NA,NA,15,NA,NA,NA
"32",1335744000,2012-04-30,NA,NA,16,NA,NA,NA
"33",1338422400,2012-05-31,NA,NA,15,NA,NA,NA
"34",1341014400,2012-06-30,NA,NA,19,NA,NA,NA
"35",1343692800,2012-07-31,NA,NA,16,NA,NA,NA
"36",1346371200,2012-08-31,NA,NA,13,NA,NA,NA
"37",1348963200,2012-09-30,NA,NA,15,NA,NA,NA
"38",1351641600,2012-10-31,NA,NA,12,NA,NA,NA
"39",1354233600,2012-11-30,NA,NA,15,NA,NA,NA
"40",1356912000,2012-12-31,NA,NA,17,NA,NA,NA
"41",1359590400,2013-01-31,NA,NA,14,NA,NA,NA
"42",1362009600,2013-02-28,NA,NA,14,NA,NA,NA
"43",1364688000,2013-03-31,NA,NA,15,NA,NA,NA
"44",1367107200,2013-04-28,134.21,107554,NA,230629,NA,16891249
"45",1367193600,2013-04-29,144.54,73687,NA,230676,NA,16941258
"46",1367280000,2013-04-30,144.54,73687,NA,230676,NA,NA
"47",1367366400,2013-05-01,116.99,61672,NA,230676,NA,17040490
"48",1367452800,2013-05-02,105.21,67744,NA,230674,NA,17097768
"49",1367539200,2013-05-03,97.75,70210,NA,230677,NA,17153627
"50",1367625600,2013-05-04,112.5,56115,NA,231410,NA,17201976
"51",1367712000,2013-05-05,115.91,55974,NA,231410,NA,17251395
"52",1367798400,2013-05-06,112.3,64381,NA,231410,NA,17302639
"53",1367884800,2013-05-07,111.5,89457,NA,231254,NA,17361854
"54",1367971200,2013-05-08,113.57,95352,NA,231255,NA,17409213
"55",1368057600,2013-05-09,112.67,70728,NA,231255,NA,17475583
"56",1368144000,2013-05-10,117.2,72244,NA,232743,NA,17543520
"57",1368230400,2013-05-11,115.24,67240,NA,232743,NA,17613930
"58",1368316800,2013-05-12,115,61435,NA,232743,NA,17683250
"59",1368403200,2013-05-13,117.98,65440,NA,232743,NA,17745440
"60",1368489600,2013-05-14,111.5,68323,NA,232743,NA,17808727
"61",1368576000,2013-05-15,114.22,70212,NA,232743,NA,17875138
"62",1368662400,2013-05-16,118.76,67246,NA,232743,NA,17935681
"63",1368748800,2013-05-17,123.02,64560,NA,232743,NA,17996577
"64",1368835200,2013-05-18,123.5,55716,NA,232743,NA,18048559
"65",1368921600,2013-05-19,121.99,51111,NA,233614,NA,18095649
"66",1369008000,2013-05-20,122,56966,NA,233658,NA,18145742
"67",1369094400,2013-05-21,122.88,63976,NA,233658,NA,18200406
"68",1369180800,2013-05-22,123.89,65369,NA,236606,NA,18254387
"69",1369267200,2013-05-23,126.7,65171,NA,236606,NA,18309211
"70",1369353600,2013-05-24,133.2,67558,NA,236614,NA,18364317
"71",1369440000,2013-05-25,131.98,60147,NA,236616,NA,18420153
"72",1369526400,2013-05-26,133.48,52307,NA,236616,NA,18460032
"73",1369612800,2013-05-27,129.75,59395,NA,236616,NA,18512409
"74",1369699200,2013-05-28,129,56871,NA,236616,NA,18567547
"75",1369785600,2013-05-29,132.3,66689,NA,236616,NA,18622466
"76",1369872000,2013-05-30,128.8,63212,NA,236616,NA,18679636
"77",1369958400,2013-05-31,129,62386,23,236528,NA,18737252
"78",1370044800,2013-06-01,129.3,59033,NA,236528,NA,18789642
"79",1370131200,2013-06-02,122.29,50677,NA,236604,NA,18840653
"80",1370217600,2013-06-03,122.22,58321,NA,236649,NA,18892701
"81",1370304000,2013-06-04,121.42,63518,NA,236649,NA,18952819
"82",1370390400,2013-06-05,121.65,67477,NA,236667,NA,19007766
"83",1370476800,2013-06-06,118,60098,NA,236667,NA,19063684
"84",1370563200,2013-06-07,111.5,60504,NA,236667,NA,19118015
"85",1370649600,2013-06-08,108.3,51054,NA,236667,NA,19165988
"86",1370736000,2013-06-09,100,45062,NA,236704,NA,19212225
"87",1370822400,2013-06-10,106.35,48672,NA,236947,NA,19254631
"88",1370908800,2013-06-11,108.9,57169,NA,236947,NA,19305839
"89",1370995200,2013-06-12,108.15,52722,NA,236947,NA,19352256
"90",1371081600,2013-06-13,104,53645,NA,236947,NA,19395558
"91",1371168000,2013-06-14,99.98,60855,NA,236947,NA,19443682
"92",1371254400,2013-06-15,99.99,52008,NA,236932,NA,19485213
"93",1371340800,2013-06-16,99.51,37955,NA,236932,NA,19525289
"94",1371427200,2013-06-17,101.7,45693,NA,236932,NA,19568688
"95",1371513600,2013-06-18,107.4,48967,NA,236932,NA,19615713
"96",1371600000,2013-06-19,108.25,55778,NA,236932,NA,19662616
"97",1371686400,2013-06-20,110.15,54530,NA,236932,NA,19712056
"98",1371772800,2013-06-21,109.5,58295,NA,236932,NA,19765050
"99",1371859200,2013-06-22,108.3,49708,NA,236940,NA,19807621
"100",1371945600,2013-06-23,107.6,41462,NA,237212,NA,19848255
"101",1372032000,2013-06-24,102.74,48326,NA,237549,NA,19889218
"102",1372118400,2013-06-25,103.95,50770,NA,237625,NA,19934806
"103",1372204800,2013-06-26,104,54518,NA,237698,NA,19980382
"104",1372291200,2013-06-27,101.44,51936,NA,237698,NA,20027179
"105",1372377600,2013-06-28,94.65,53524,NA,237698,NA,20075503
"106",1372464000,2013-06-29,94.99,55499,NA,237698,NA,20114476
"107",1372550400,2013-06-30,96.61,41271,19,237698,NA,20147470
"108",1372636800,2013-07-01,88.05,49206,NA,237698,NA,20181523
"109",1372723200,2013-07-02,90.13,56769,NA,237718,NA,20224787
"110",1372809600,2013-07-03,77.53,53642,NA,237718,NA,20260138
"111",1372896000,2013-07-04,80.53,53347,NA,237718,NA,20294698
"112",1372982400,2013-07-05,68.43,47699,NA,237718,NA,20330989
"113",1373068800,2013-07-06,70.28,46957,NA,237718,NA,20367968
"114",1373155200,2013-07-07,74.56,37506,NA,237686,NA,20396833
"115",1373241600,2013-07-08,76.52,47647,NA,237825,NA,20433745
"116",1373328000,2013-07-09,76.69,54846,NA,237825,NA,20475522
"117",1373414400,2013-07-10,86.76,55835,NA,237826,NA,20514862
"118",1373500800,2013-07-11,88.98,56988,NA,237826,NA,20555902
"119",1373587200,2013-07-12,93.59,69663,NA,237826,NA,20605947
"120",1373673600,2013-07-13,98.13,57072,NA,237826,NA,20646260
"121",1373760000,2013-07-14,94.69,38740,NA,237694,NA,20680410
"122",1373846400,2013-07-15,98.4,46589,NA,237694,NA,20717148
"123",1373932800,2013-07-16,97.45,53761,NA,237694,NA,20755932
"124",1374019200,2013-07-17,98.5,54355,NA,237694,NA,20795497
"125",1374105600,2013-07-18,90.58,54308,NA,237694,NA,20836754
"126",1374192000,2013-07-19,92.17,48100,NA,238321,NA,20874774
"127",1374278400,2013-07-20,89.39,44457,NA,238321,NA,20908400
"128",1374364800,2013-07-21,90.76,43487,NA,238321,NA,20945284
"129",1374451200,2013-07-22,91.61,46082,NA,238326,NA,20982541
"130",1374537600,2013-07-23,95.56,54206,NA,238326,NA,21022185
"131",1374624000,2013-07-24,94.51,54521,NA,238326,NA,21062148
"132",1374710400,2013-07-25,96.9,51978,NA,238335,NA,21104452
"133",1374796800,2013-07-26,96.02,55955,NA,238430,NA,21145880
"134",1374883200,2013-07-27,94.12,42750,NA,238430,NA,21181867
"135",1374969600,2013-07-28,99.76,37554,NA,238561,NA,21214978
"136",1375056000,2013-07-29,101.2,54397,NA,238566,NA,21259238
"137",1375142400,2013-07-30,107.99,55581,NA,238566,NA,21299236
"138",1375228800,2013-07-31,106.09,69550,17,238592,NA,21351155
"139",1375315200,2013-08-01,104,82370,NA,238601,NA,21396978
"140",1375401600,2013-08-02,104.5,84776,NA,238601,NA,21450152
"141",1375488000,2013-08-03,104,53305,NA,238601,NA,21499217
"142",1375574400,2013-08-04,105.14,46413,NA,238601,NA,21543822
"143",1375660800,2013-08-05,106.22,57924,NA,238668,NA,21591725
"144",1375747200,2013-08-06,106.75,61468,NA,238666,NA,21643985
"145",1375833600,2013-08-07,106.75,64048,NA,238635,NA,21701210
"146",1375920000,2013-08-08,103,61019,NA,238632,NA,21758246
"147",1376006400,2013-08-09,102.8,57904,NA,238632,NA,21811487
"148",1376092800,2013-08-10,103,52564,NA,238632,NA,21863527
"149",1376179200,2013-08-11,105,43679,NA,238632,NA,21904586
"150",1376265600,2013-08-12,106.64,70581,NA,238632,NA,21950397
"151",1376352000,2013-08-13,109,75208,NA,238714,NA,22003881
"152",1376438400,2013-08-14,112.56,60659,NA,238714,NA,22054365
"153",1376524800,2013-08-15,109.99,66433,NA,239112,NA,22113394
"154",1376611200,2013-08-16,108.99,69457,NA,239226,NA,22181695
"155",1376697600,2013-08-17,113.5,58546,NA,239226,NA,22240948
"156",1376784000,2013-08-18,113.5,42791,NA,239321,NA,22294082
"157",1376870400,2013-08-19,119,65506,NA,239321,NA,22364020
"158",1376956800,2013-08-20,121.2,69460,NA,239352,NA,22430559
"159",1377043200,2013-08-21,123.3,70761,NA,239396,NA,22493975
"160",1377129600,2013-08-22,121.15,70737,NA,275315,NA,22556747
"161",1377216000,2013-08-23,118.5,68764,NA,275333,NA,22616716
"162",1377302400,2013-08-24,120.05,54649,NA,275337,NA,22667801
"163",1377388800,2013-08-25,122.11,48105,NA,275356,NA,22712895
"164",1377475200,2013-08-26,120.06,57471,NA,278345,NA,22766423
"165",1377561600,2013-08-27,126.5,71151,NA,278345,NA,22827439
"166",1377648000,2013-08-28,122.62,72494,NA,275382,NA,22891084
"167",1377734400,2013-08-29,122.39,67844,NA,275398,NA,22952609
"168",1377820800,2013-08-30,133.49,72629,NA,275541,NA,23013325
"169",1377907200,2013-08-31,135.35,82290,20,275541,NA,23065858
"170",1377993600,2013-09-01,138.34,49046,NA,275541,NA,23111436
"171",1378080000,2013-09-02,135.85,52118,NA,275713,NA,23161892
"172",1378166400,2013-09-03,136.77,54757,NA,275738,NA,23212395
"173",1378252800,2013-09-04,126.74,58274,NA,275742,NA,23263531
"174",1378339200,2013-09-05,126.43,63542,NA,275742,NA,23323753
"175",1378425600,2013-09-06,119.15,57620,NA,275767,NA,23387165
