"","Date","Eth.Exchange.Rate","Eth.Addresses.Total","Eth.Authors","Eth.New.Projects","Eth.Transactions","Eth.Transactions.Cum","Eth.Loc","Unix"
"1",2013-12-31,NA,NA,2,NA,NA,NA,NA,1388448000
"2",2014-01-31,NA,NA,5,NA,NA,NA,NA,1391126400
"3",2014-02-28,NA,NA,6,NA,NA,NA,NA,1393545600
"4",2014-03-31,NA,NA,6,NA,NA,NA,NA,1396224000
"5",2014-04-30,NA,NA,7,NA,NA,NA,NA,1398816000
"6",2014-05-31,NA,NA,10,NA,NA,NA,NA,1401494400
"7",2014-06-30,NA,NA,4,NA,NA,NA,NA,1404086400
"8",2014-07-31,NA,NA,8,NA,NA,NA,NA,1406764800
"9",2014-08-31,NA,NA,2,NA,NA,NA,NA,1409443200
"10",2014-09-30,NA,NA,5,NA,NA,NA,NA,1412035200
"11",2014-10-31,NA,NA,14,NA,NA,NA,NA,1414713600
"12",2014-11-30,NA,NA,12,NA,NA,NA,NA,1417305600
"13",2014-12-31,NA,NA,10,NA,NA,NA,NA,1419984000
"14",2015-01-31,NA,NA,15,NA,NA,NA,NA,1422662400
"15",2015-02-28,NA,NA,20,NA,NA,NA,NA,1425081600
"16",2015-03-31,NA,NA,14,NA,NA,NA,NA,1427760000
"17",2015-04-30,NA,NA,18,NA,NA,NA,NA,1430352000
"18",2015-05-31,NA,NA,13,NA,NA,NA,NA,1433030400
"19",2015-06-30,NA,NA,11,NA,NA,NA,NA,1435622400
"20",2015-07-30,NA,NA,NA,NA,8893,8893,NA,1438214400
"21",2015-07-31,NA,NA,12,NA,0,8893,NA,1438300800
"22",2015-08-01,NA,NA,NA,NA,0,8893,NA,1438387200
"23",2015-08-02,NA,NA,NA,NA,0,8893,NA,1438473600
"24",2015-08-03,NA,NA,NA,NA,0,8893,NA,1438560000
"25",2015-08-04,NA,NA,NA,NA,0,8893,NA,1438646400
"26",2015-08-05,NA,NA,NA,NA,0,8893,NA,1438732800
"27",2015-08-06,NA,NA,NA,NA,0,8893,NA,1438819200
"28",2015-08-07,2.77,10314,NA,NA,2050,10943,2397500,1438905600
"29",2015-08-08,0.753325,10730,NA,NA,2881,13824,2398969,1438992000
"30",2015-08-09,0.701897,11004,NA,NA,1329,15153,2399008,1439078400
"31",2015-08-10,0.708448,11679,NA,NA,2037,17190,2399008,1439164800
"32",2015-08-11,1.07,13576,NA,NA,4963,22153,2400297,1439251200
"33",2015-08-12,1.22,13913,NA,NA,2036,24189,2400297,1439337600
"34",2015-08-13,1.83,14459,NA,NA,2842,27031,2400624,1439424000
"35",2015-08-14,1.83,15024,NA,NA,3174,30205,2401702,1439510400
"36",2015-08-15,1.69,15407,NA,NA,2284,32489,2401697,1439596800
"37",2015-08-16,1.57,15407,NA,NA,NA,32489,2401701,1439683200
"38",2015-08-17,1.57,15407,NA,NA,NA,32489,2401725,1439769600
"39",2015-08-18,1.09,16268,NA,NA,2494,39935,2401734,1439856000
"40",2015-08-19,1.26,16553,NA,NA,3246,43181,2399888,1439942400
"41",2015-08-20,1.46,16773,NA,NA,2303,45484,2400201,1440028800
"42",2015-08-21,1.4,17070,NA,NA,3919,49403,2400201,1440115200
"43",2015-08-22,1.38,17313,NA,NA,3579,52982,2400201,1440201600
"44",2015-08-23,1.35,17662,NA,NA,4190,57172,2400201,1440288000
"45",2015-08-24,1.23,17839,NA,NA,4432,61604,2400201,1440374400
"46",2015-08-25,1.14,18089,NA,NA,4487,66091,2400566,1440460800
"47",2015-08-26,1.16,18298,NA,NA,4156,70247,2402580,1440547200
"48",2015-08-27,1.15,18508,NA,NA,5590,75837,2402580,1440633600
"49",2015-08-28,1.19,18687,NA,NA,4758,80595,2402580,1440720000
"50",2015-08-29,1.18,18815,NA,NA,4139,84734,2402603,1440806400
"51",2015-08-30,1.32,19017,NA,NA,4572,89306,2402603,1440892800
"52",2015-08-31,1.32,19017,NA,NA,NA,89306,2402614,1440979200
"53",2015-09-01,1.35,19349,NA,NA,5153,99655,2402633,1441065600
"54",2015-09-02,1.29,19500,NA,NA,5195,104850,2403073,1441152000
"55",2015-09-03,1.26,19646,NA,NA,4777,109627,2403075,1441238400
"56",2015-09-04,1.27,19791,NA,NA,5642,115269,2403075,1441324800
"57",2015-09-05,1.34,19955,NA,NA,5519,120788,2403075,1441411200
"58",2015-09-06,1.3,20081,NA,NA,5521,126309,2403075,1441497600
"59",2015-09-07,1.25,20308,NA,NA,5702,132011,2403075,1441584000
"60",2015-09-08,1.24,20433,NA,NA,5622,137633,2403075,1441670400
"61",2015-09-09,1.21,20609,NA,NA,5604,143237,2403188,1441756800
"62",2015-09-10,1.17,20711,NA,NA,5341,148578,2403625,1441843200
"63",2015-09-11,0.982978,20897,NA,NA,6460,155038,2404126,1441929600
"64",2015-09-12,1.04,21043,NA,NA,5596,160634,2404126,1442016000
"65",2015-09-13,0.936003,21252,NA,NA,6057,166691,2404126,1442102400
"66",2015-09-14,0.875622,21409,NA,NA,5572,172263,2404097,1442188800
"67",2015-09-15,0.94441,21581,NA,NA,5409,177672,2404111,1442275200
"68",2015-09-16,0.907175,21719,NA,NA,5872,183544,2405051,1442361600
"69",2015-09-17,0.874231,21826,NA,NA,5368,188912,2405054,1442448000
"70",2015-09-18,0.853685,21999,NA,NA,5802,194714,2417772,1442534400
"71",2015-09-19,0.882391,22106,NA,NA,5205,199919,2417772,1442620800
"72",2015-09-20,0.938445,22230,NA,NA,6402,206321,2417772,1442707200
"73",2015-09-21,0.919047,22363,NA,NA,6305,212626,2418238,1442793600
"74",2015-09-22,0.901796,22496,NA,NA,6804,219430,2418238,1442880000
"75",2015-09-23,0.893406,22648,NA,NA,7404,226834,2425102,1442966400
"76",2015-09-24,0.81361,22783,NA,NA,6224,233058,2425102,1443052800
"77",2015-09-25,0.736223,22902,NA,NA,5851,238909,2425118,1443139200
"78",2015-09-26,0.785964,22964,NA,NA,5907,244816,2425118,1443225600
"79",2015-09-27,0.720839,23045,NA,NA,5760,250576,2425118,1443312000
"80",2015-09-28,0.582886,23160,NA,NA,6123,256699,2425118,1443398400
"81",2015-09-29,0.661146,23283,NA,NA,5738,262437,2425118,1443484800
"82",2015-09-30,0.738644,23385,11,NA,5870,268307,2425156,1443571200
"83",2015-10-01,0.690215,23482,NA,NA,6421,274728,2425632,1443657600
"84",2015-10-02,0.678574,23563,NA,NA,6063,280791,2425679,1443744000
"85",2015-10-03,0.687171,23689,NA,NA,6112,286903,2425679,1443830400
"86",2015-10-04,0.668379,23777,NA,NA,6624,293527,2425679,1443916800
"87",2015-10-05,0.628643,23909,NA,NA,6279,299806,2425548,1444003200
"88",2015-10-06,0.650645,24005,NA,NA,6458,306264,2425548,1444089600
"89",2015-10-07,0.609388,24102,NA,NA,7121,313385,2425551,1444176000
"90",2015-10-08,0.621716,24168,NA,NA,6926,320311,2425689,1444262400
"91",2015-10-09,0.650628,24243,NA,NA,6763,327074,2425741,1444348800
"92",2015-10-10,0.627857,24303,NA,NA,6529,333603,2425741,1444435200
"93",2015-10-11,0.634963,24359,NA,NA,6023,339626,2425741,1444521600
"94",2015-10-12,0.62603,24473,NA,NA,6593,346219,2425742,1444608000
"95",2015-10-13,0.607655,24675,NA,NA,6818,353037,2425742,1444694400
"96",2015-10-14,0.522968,24906,NA,NA,6830,359867,2425742,1444780800
"97",2015-10-15,0.561878,25142,NA,NA,6499,366366,2429599,1444867200
"98",2015-10-16,0.536495,25248,NA,NA,6795,373161,2437065,1444953600
"99",2015-10-17,0.547178,25356,NA,NA,6567,379728,2437065,1445040000
"100",2015-10-18,0.517734,25489,NA,NA,6481,386209,2437065,1445126400
"101",2015-10-19,0.489014,25729,NA,NA,6604,392813,2437065,1445212800
"102",2015-10-20,0.434829,25828,NA,NA,5897,398710,2437015,1445299200
"103",2015-10-21,0.567702,25828,NA,NA,NA,398710,2440649,1445385600
"104",2015-10-22,0.567702,25828,NA,NA,NA,398710,2440845,1445472000
"105",2015-10-23,0.539657,26449,NA,NA,6888,417759,2440862,1445558400
"106",2015-10-24,0.56359,26892,NA,NA,6361,424120,2440862,1445644800
"107",2015-10-25,0.616039,27220,NA,NA,5830,429950,2457863,1445731200
"108",2015-10-26,0.731317,27534,NA,NA,5938,435888,2457830,1445817600
"109",2015-10-27,0.869641,27744,NA,NA,6784,442672,2457830,1445904000
"110",2015-10-28,1,27918,NA,NA,7346,450018,2457847,1445990400
"111",2015-10-29,1.21,28188,NA,NA,7836,457854,2465830,1446076800
"112",2015-10-30,1.04,28770,NA,NA,7941,465795,2464586,1446163200
"113",2015-10-31,0.916627,29166,8,NA,7557,473352,2464593,1446249600
"114",2015-11-01,1.06,29676,NA,NA,6915,480267,2464593,1446336000
"115",2015-11-02,0.989789,29973,NA,NA,6558,486825,2464593,1446422400
"116",2015-11-03,1.01,30326,NA,NA,7399,494224,2464657,1446508800
"117",2015-11-04,0.89905,30608,NA,NA,7037,501261,2464815,1446595200
"118",2015-11-05,0.895637,30815,NA,NA,7498,508759,2464827,1446681600
"119",2015-11-06,0.926032,30968,NA,NA,7882,516641,2464814,1446768000
"120",2015-11-07,0.927974,31514,NA,NA,10996,527637,2464814,1446854400
"121",2015-11-08,1.03,32153,NA,NA,12413,540050,2464814,1446940800
