"","Unix","Date","Btc.Exchange.Rate","Xrp.Exchange.Rate","Eth.Exchange.Rate"
"1",1367107200,2013-04-28,134.21,NA,NA
"2",1367193600,2013-04-29,144.54,NA,NA
"3",1367280000,2013-04-30,139,NA,NA
"4",1367366400,2013-05-01,116.99,NA,NA
"5",1367452800,2013-05-02,105.21,NA,NA
"6",1367539200,2013-05-03,97.75,NA,NA
"7",1367625600,2013-05-04,112.5,NA,NA
"8",1367712000,2013-05-05,115.91,NA,NA
"9",1367798400,2013-05-06,112.3,NA,NA
"10",1367884800,2013-05-07,111.5,NA,NA
"11",1367971200,2013-05-08,113.57,NA,NA
"12",1368057600,2013-05-09,112.67,NA,NA
"13",1368144000,2013-05-10,117.2,NA,NA
"14",1368230400,2013-05-11,115.24,NA,NA
"15",1368316800,2013-05-12,115,NA,NA
"16",1368403200,2013-05-13,117.98,NA,NA
"17",1368489600,2013-05-14,111.5,NA,NA
"18",1368576000,2013-05-15,114.22,NA,NA
"19",1368662400,2013-05-16,118.76,NA,NA
"20",1368748800,2013-05-17,123.02,NA,NA
"21",1368835200,2013-05-18,123.5,NA,NA
"22",1368921600,2013-05-19,121.99,NA,NA
"23",1369008000,2013-05-20,122,NA,NA
"24",1369094400,2013-05-21,122.88,NA,NA
"25",1369180800,2013-05-22,123.89,NA,NA
"26",1369267200,2013-05-23,126.7,NA,NA
"27",1369353600,2013-05-24,133.2,NA,NA
"28",1369440000,2013-05-25,131.98,NA,NA
"29",1369526400,2013-05-26,133.48,NA,NA
"30",1369612800,2013-05-27,129.75,NA,NA
"31",1369699200,2013-05-28,129,NA,NA
"32",1369785600,2013-05-29,132.3,NA,NA
"33",1369872000,2013-05-30,128.8,NA,NA
"34",1369958400,2013-05-31,129,NA,NA
"35",1370044800,2013-06-01,129.3,NA,NA
"36",1370131200,2013-06-02,122.29,NA,NA
"37",1370217600,2013-06-03,122.22,NA,NA
"38",1370304000,2013-06-04,121.42,NA,NA
"39",1370390400,2013-06-05,121.65,NA,NA
"40",1370476800,2013-06-06,118,NA,NA
"41",1370563200,2013-06-07,111.5,NA,NA
"42",1370649600,2013-06-08,108.3,NA,NA
"43",1370736000,2013-06-09,100,NA,NA
"44",1370822400,2013-06-10,106.35,NA,NA
"45",1370908800,2013-06-11,108.9,NA,NA
"46",1370995200,2013-06-12,108.15,NA,NA
"47",1371081600,2013-06-13,104,NA,NA
"48",1371168000,2013-06-14,99.98,NA,NA
"49",1371254400,2013-06-15,99.99,NA,NA
"50",1371340800,2013-06-16,99.51,NA,NA
"51",1371427200,2013-06-17,101.7,NA,NA
"52",1371513600,2013-06-18,107.4,NA,NA
"53",1371600000,2013-06-19,108.25,NA,NA
"54",1371686400,2013-06-20,110.15,NA,NA
"55",1371772800,2013-06-21,109.5,NA,NA
"56",1371859200,2013-06-22,108.3,NA,NA
"57",1371945600,2013-06-23,107.6,NA,NA
"58",1372032000,2013-06-24,102.74,NA,NA
"59",1372118400,2013-06-25,103.95,NA,NA
"60",1372204800,2013-06-26,104,NA,NA
"61",1372291200,2013-06-27,101.44,NA,NA
"62",1372377600,2013-06-28,94.65,NA,NA
"63",1372464000,2013-06-29,94.99,NA,NA
"64",1372550400,2013-06-30,96.61,NA,NA
"65",1372636800,2013-07-01,88.05,NA,NA
"66",1372723200,2013-07-02,90.13,NA,NA
"67",1372809600,2013-07-03,77.53,NA,NA
"68",1372896000,2013-07-04,80.53,NA,NA
"69",1372982400,2013-07-05,68.43,NA,NA
"70",1373068800,2013-07-06,70.28,NA,NA
"71",1373155200,2013-07-07,74.56,NA,NA
"72",1373241600,2013-07-08,76.52,NA,NA
"73",1373328000,2013-07-09,76.69,NA,NA
"74",1373414400,2013-07-10,86.76,NA,NA
"75",1373500800,2013-07-11,88.98,NA,NA
"76",1373587200,2013-07-12,93.59,NA,NA
"77",1373673600,2013-07-13,98.13,NA,NA
"78",1373760000,2013-07-14,94.69,NA,NA
"79",1373846400,2013-07-15,98.4,NA,NA
"80",1373932800,2013-07-16,97.45,NA,NA
"81",1374019200,2013-07-17,98.5,NA,NA
"82",1374105600,2013-07-18,90.58,NA,NA
"83",1374192000,2013-07-19,92.17,NA,NA
"84",1374278400,2013-07-20,89.39,NA,NA
"85",1374364800,2013-07-21,90.76,NA,NA
"86",1374451200,2013-07-22,91.61,NA,NA
"87",1374537600,2013-07-23,95.56,NA,NA
"88",1374624000,2013-07-24,94.51,NA,NA
"89",1374710400,2013-07-25,96.9,NA,NA
"90",1374796800,2013-07-26,96.02,NA,NA
"91",1374883200,2013-07-27,94.12,NA,NA
"92",1374969600,2013-07-28,99.76,NA,NA
"93",1375056000,2013-07-29,101.2,NA,NA
"94",1375142400,2013-07-30,107.99,NA,NA
"95",1375228800,2013-07-31,106.09,NA,NA
"96",1375315200,2013-08-01,104,NA,NA
"97",1375401600,2013-08-02,104.5,NA,NA
"98",1375488000,2013-08-03,104,NA,NA
"99",1375574400,2013-08-04,105.14,0.005882,NA
"100",1375660800,2013-08-05,106.22,0.005613,NA
"101",1375747200,2013-08-06,106.75,0.00468,NA
"102",1375833600,2013-08-07,106.75,0.004417,NA
"103",1375920000,2013-08-08,103,0.004254,NA
"104",1376006400,2013-08-09,102.8,0.004291,NA
"105",1376092800,2013-08-10,103,0.004314,NA
"106",1376179200,2013-08-11,105,0.004415,NA
"107",1376265600,2013-08-12,106.64,0.004449,NA
"108",1376352000,2013-08-13,109,0.004245,NA
"109",1376438400,2013-08-14,112.56,0.003788,NA
"110",1376524800,2013-08-15,109.99,0.003092,NA
"111",1376611200,2013-08-16,108.99,0.003134,NA
"112",1376697600,2013-08-17,113.5,0.005671,NA
"113",1376784000,2013-08-18,113.5,0.005617,NA
"114",1376870400,2013-08-19,119,0.00526,NA
"115",1376956800,2013-08-20,121.2,0.006098,NA
"116",1377043200,2013-08-21,123.3,0.006131,NA
"117",1377129600,2013-08-22,121.15,0.005143,NA
"118",1377216000,2013-08-23,118.5,0.005139,NA
"119",1377302400,2013-08-24,120.05,0.005546,NA
"120",1377388800,2013-08-25,122.11,0.006104,NA
"121",1377475200,2013-08-26,120.06,0.006417,NA
"122",1377561600,2013-08-27,126.5,0.006452,NA
"123",1377648000,2013-08-28,122.62,0.006246,NA
"124",1377734400,2013-08-29,122.39,0.005763,NA
"125",1377820800,2013-08-30,133.49,0.00593,NA
"126",1377907200,2013-08-31,135.35,0.005632,NA
"127",1377993600,2013-09-01,138.34,0.005787,NA
"128",1378080000,2013-09-02,135.85,0.005528,NA
"129",1378166400,2013-09-03,136.77,0.00567,NA
"130",1378252800,2013-09-04,126.74,0.005695,NA
"131",1378339200,2013-09-05,126.43,0.005715,NA
"132",1378425600,2013-09-06,119.15,0.005866,NA
"133",1378512000,2013-09-07,124.15,0.006173,NA
"134",1378598400,2013-09-08,121.66,0.006183,NA
"135",1378684800,2013-09-09,127.11,0.00627,NA
"136",1378771200,2013-09-10,125.91,0.005808,NA
"137",1378857600,2013-09-11,135.25,0.006273,NA
"138",1378944000,2013-09-12,133.13,0.006349,NA
"139",1379030400,2013-09-13,134.98,0.006513,NA
"140",1379116800,2013-09-14,129.22,0.00634,NA
